ID,Môn học,Cấp học,Độ khó,Câu hỏi,Phương án A,Phương án B,Phương án C,Phương án D,Đáp án đúng,Giải thích (Đáp án gốc)
45,Sinh học,THCS,Trung bình,Quang hợp là gì?,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.","Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,A,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen."
46,Giáo dục kinh tế & pháp luật,THPT,Dễ,Cung và cầu là gì?,Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.,"Đơn vị của lực là niutơn, ký hiệu N.","Lạm phát cao làm giảm sức mua, gây khó khăn cho việc lập kế hoạch chi tiêu và đầu tư, đồng thời có thể làm tăng bất ổn kinh tế nếu kéo dài.","Lạm phát là tình trạng mức giá chung của hàng hóa và dịch vụ tăng lên một cách kéo dài, làm giảm sức mua của đồng tiền.",A,Cầu là lượng hàng hóa hoặc dịch vụ người mua có khả năng và sẵn sàng mua ở các mức giá khác nhau; cung là lượng hàng hóa hoặc dịch vụ người bán có khả năng và sẵn sàng cung ứng.
47,Toán,THCS,Khó,Một tam giác vuông có hai cạnh góc vuông dài 6 cm và 8 cm. Cạnh huyền dài bao nhiêu?,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm.",Chu vi là 6 × 4 = 24 cm.,7 nhân 8 bằng 56.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,A,"Theo định lý Pythagore, cạnh huyền bằng √(6² + 8²) = 10 cm."
48,Ngữ văn,THPT,Khó,"Em hãy giải thích: Tác dụng của việc kết hợp tự sự, miêu tả và biểu cảm trong văn bản là gì?","Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.",Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,C,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn."
49,Hóa học,THPT,Khó,Hãy cho biết Cân bằng hóa học là gì?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",Nước có công thức hóa học là H₂O.,B,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định."
50,Khoa học,Tiểu học,Dễ,Con người cần những gì để sống?,"Rửa tay giúp loại bỏ nhiều vi sinh vật và chất bẩn, từ đó giảm nguy cơ đưa mầm bệnh vào cơ thể.","Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",Vì cơ thể cần nhiều nhóm chất dinh dưỡng khác nhau để tăng trưởng và hoạt động.,"Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp.",D,"Con người cần không khí, nước, thức ăn và các điều kiện sống phù hợp."
51,Vật lý,THPT,Khó,Hãy cho biết Một vật khối lượng 2 kg chuyển động với vận tốc 3 m/s. Động năng của vật bằng bao nhiêu?,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",Động năng là 1/2 × 2 × 3² = 9 J.,"Đơn vị của lực là niutơn, ký hiệu N.",C,Động năng là 1/2 × 2 × 3² = 9 J.
52,Lịch sử,THPT,Trung bình,Liên Hợp Quốc được thành lập nhằm mục tiêu lớn nào?,Chiến thắng Điện Biên Phủ diễn ra năm 1954.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.","Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,B,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia."
53,Hóa học,THCS,Dễ,Hãy cho biết Nước có công thức hóa học là gì?,Nước có công thức hóa học là H₂O.,pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,"Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",A,Nước có công thức hóa học là H₂O.
54,Tiếng Anh,THCS,Trung bình,Đổi câu 'They are playing football.' sang câu phủ định.,'Book' nghĩa là 'quyển sách'.,They are not playing football.,She doesn't like apples.,"Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",B,They are not playing football.
55,Hóa học,THPT,Trung bình,Em hãy giải thích: Chất xúc tác có vai trò gì trong phản ứng hóa học?,Nước có công thức hóa học là H₂O.,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,"Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",C,"Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng."
56,Tiếng Anh,Tiểu học,Dễ,Hãy cho biết Từ 'book' nghĩa là gì?,'Book' nghĩa là 'quyển sách'.,Từ thích hợp là 'am'.,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,They are not playing football.,A,'Book' nghĩa là 'quyển sách'.
57,Địa lý,THCS,Dễ,Khí hậu Việt Nam mang tính chất gì nổi bật?,Thủ đô của Việt Nam là Hà Nội.,Miền Bắc chịu ảnh hưởng rõ hơn của gió mùa Đông Bắc và có vị trí vĩ độ cao hơn nên mùa đông lạnh hơn miền Nam.,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,C,Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.
58,Toán,Tiểu học,Khó,"Một lớp có 32 học sinh, số học sinh nữ bằng một nửa số học sinh cả lớp. Có bao nhiêu học sinh nam?",Có 16 học sinh nữ và 16 học sinh nam.,53 lớn hơn 35.,Còn lại 29 quyển vở.,x = 4.,A,Có 16 học sinh nữ và 16 học sinh nam.
59,Hóa học,THCS,Dễ,Nước có công thức hóa học là gì?,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.",pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,Nước có công thức hóa học là H₂O.,D,Nước có công thức hóa học là H₂O.
60,Vật lý,THPT,Khó,Một vật khối lượng 2 kg chuyển động với vận tốc 3 m/s. Động năng của vật bằng bao nhiêu?,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",Động năng được tính bằng Wđ = 1/2 mv².,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,Động năng là 1/2 × 2 × 3² = 9 J.,D,Động năng là 1/2 × 2 × 3² = 9 J.
61,Sinh học,THPT,Trung bình,Hãy cho biết Gen là gì?,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",C,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.
62,Sinh học,THPT,Khó,Đột biến gen là gì?,Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.",D,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật."
63,Địa lý,Tiểu học,Dễ,Thủ đô của Việt Nam là thành phố nào?,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.",GDP là tổng giá trị thị trường của hàng hóa và dịch vụ cuối cùng được sản xuất trong phạm vi một nền kinh tế trong một khoảng thời gian nhất định.,Thủ đô của Việt Nam là Hà Nội.,"Cơ cấu kinh tế thường được phân theo khu vực nông, lâm, ngư nghiệp; công nghiệp và xây dựng; dịch vụ.",C,Thủ đô của Việt Nam là Hà Nội.
64,GDCD,THCS,Trung bình,Em hãy giải thích: Vì sao công dân cần tuân thủ pháp luật?,Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.,"Chuột dùng để điều khiển con trỏ và thực hiện các thao tác như nhấp, kéo và chọn.","'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân.",D,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân."
65,Tiếng Anh,Tiểu học,Khó,Đổi câu 'She likes apples.' sang câu phủ định.,"Cấu trúc cơ bản là chủ ngữ mới + be + past participle (V3), với thì của động từ be phù hợp.","Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",She doesn't like apples.,Câu điều kiện loại 1 thường diễn tả một điều kiện có khả năng xảy ra ở hiện tại hoặc tương lai và kết quả có thể xảy ra.,C,She doesn't like apples.
66,Vật lý,THCS,Trung bình,Em hãy giải thích: Công thức tính vận tốc là gì?,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,Vận tốc trung bình là 120/2 = 60 km/h.,Động năng được tính bằng Wđ = 1/2 mv².,"Định luật II Newton có dạng F = ma, trong đó F là hợp lực, m là khối lượng và a là gia tốc.",A,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.
67,Sinh học,THPT,Dễ,Hãy cho biết DNA là gì?,"Đột biến gen là sự biến đổi trong trình tự nucleotide của gen, có thể tạo ra alen mới và có những tác động khác nhau đến sinh vật.","Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,D,DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.
68,Toán,Tiểu học,Dễ,Số nào lớn hơn: 35 hay 53?,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",Có 16 học sinh nữ và 16 học sinh nam.,53 lớn hơn 35.,Chu vi là 6 × 4 = 24 cm.,C,53 lớn hơn 35.
69,Địa lý,Tiểu học,Dễ,Hãy cho biết Thủ đô của Việt Nam là thành phố nào?,"Vì tài nguyên và môi trường là nền tảng của phát triển lâu dài; khai thác thiếu kiểm soát có thể làm suy giảm tài nguyên, tăng ô nhiễm và gây chi phí xã hội lớn.","Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.",Khí hậu Việt Nam nhìn chung mang tính chất nhiệt đới gió mùa.,Thủ đô của Việt Nam là Hà Nội.,D,Thủ đô của Việt Nam là Hà Nội.
70,Sinh học,THPT,Dễ,DNA là gì?,Tế bào là đơn vị cấu tạo và chức năng cơ bản của cơ thể sống.,Gen là một đoạn DNA mang thông tin quy định một sản phẩm chức năng hoặc tham gia quy định một tính trạng theo cơ chế di truyền.,"Quang hợp là quá trình thực vật sử dụng năng lượng ánh sáng để tổng hợp chất hữu cơ từ carbon dioxide và nước, đồng thời giải phóng oxygen.",DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.,D,DNA là phân tử mang và lưu trữ thông tin di truyền ở hầu hết sinh vật.
71,GDCD,THCS,Dễ,Pháp luật là gì?,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân.",Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,"Đô thị hóa thúc đẩy phát triển kinh tế và dịch vụ nhưng cũng có thể gây áp lực lên giao thông, nhà ở, môi trường và hạ tầng.",Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.,D,Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.
72,Tiếng Anh,Tiểu học,Trung bình,Hãy cho biết Điền từ thích hợp: 'I ___ a student.'?,Từ thích hợp là 'am'.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Thì hiện tại đơn thường diễn tả thói quen, sự thật hiển nhiên hoặc những việc thường xuyên xảy ra.",'Book' nghĩa là 'quyển sách'.,A,Từ thích hợp là 'am'.
73,Tiếng Anh,THCS,Khó,Khi nào thường dùng thì hiện tại hoàn thành?,Từ thích hợp là 'am'.,"Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",They are not playing football.,She doesn't like apples.,B,"Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại."
74,Lịch sử,THCS,Khó,Vì sao Cách mạng tháng Tám năm 1945 có thể giành thắng lợi nhanh chóng?,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.",Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,Chủ tịch Hồ Chí Minh đọc Tuyên ngôn Độc lập.,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",D,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh."
75,Ngữ văn,THCS,Khó,Em hãy giải thích: Phân biệt chủ đề và đề tài của một tác phẩm văn học.?,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.","Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Luận điểm là ý kiến hoặc quan điểm chính mà người viết đưa ra để làm rõ vấn đề nghị luận.,A,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.
76,Ngữ văn,THCS,Khó,Phân biệt chủ đề và đề tài của một tác phẩm văn học.,Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,Luận điểm là ý kiến hoặc quan điểm chính mà người viết đưa ra để làm rõ vấn đề nghị luận.,C,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.
77,Ngữ văn,THCS,Dễ,Ẩn dụ là gì?,"Sự kết hợp giúp văn bản vừa có diễn biến và thông tin, vừa tạo hình ảnh sinh động và bộc lộ cảm xúc, làm tăng sức thuyết phục và hấp dẫn.",Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.",Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,C,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng."
78,Toán,Tiểu học,Dễ,Em hãy giải thích: 7 nhân 8 bằng bao nhiêu?,7 nhân 8 bằng 56.,f'(x)=2x.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",Còn lại 29 quyển vở.,A,7 nhân 8 bằng 56.
79,Lịch sử,THCS,Trung bình,Cách mạng tháng Tám năm 1945 có ý nghĩa gì đối với Việt Nam?,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.",Ngày Quốc khánh Việt Nam là ngày 2 tháng 9.,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.",C,Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.
80,GDCD,THCS,Dễ,Hãy cho biết Pháp luật là gì?,Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.,"Tuân thủ pháp luật giúp bảo đảm trật tự xã hội, bảo vệ quyền lợi hợp pháp và thực hiện trách nhiệm của công dân.",Hô hấp tế bào giải phóng năng lượng từ chất hữu cơ để cung cấp năng lượng cho các hoạt động sống của tế bào.,Vận tốc được tính bằng quãng đường chia cho thời gian: v = s/t.,A,Pháp luật là hệ thống các quy tắc xử sự chung do Nhà nước ban hành hoặc thừa nhận và bảo đảm thực hiện.
81,Tiếng Anh,THPT,Khó,Em hãy giải thích: Phân biệt 'few' và 'a few'.?,Từ thích hợp là 'am'.,'Book' nghĩa là 'quyển sách'.,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định.","Thì hiện tại hoàn thành thường dùng để nói về hành động đã xảy ra trong quá khứ nhưng có liên hệ với hiện tại, hoặc kinh nghiệm và hành động kéo dài đến hiện tại.",C,"'Few' mang nghĩa gần như không có hoặc số lượng rất ít; 'a few' nghĩa là có một vài, nhấn mạnh rằng vẫn có một số lượng nhất định."
82,Tin học,THCS,Dễ,Hãy cho biết Thuật toán là gì?,"Mật khẩu mạnh nên đủ dài, khó đoán và kết hợp nhiều loại ký tự; không nên dùng thông tin cá nhân dễ đoán.","Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,D,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.
83,Lịch sử,THPT,Khó,Hãy cho biết Toàn cầu hóa có những tác động chủ yếu nào đối với các quốc gia?,"Thắng lợi có nhiều nguyên nhân, trong đó có sự lãnh đạo của lực lượng cách mạng, quá trình chuẩn bị lâu dài, sức mạnh quần chúng và thời cơ thuận lợi khi Nhật đầu hàng Đồng minh.","Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng.",Cách mạng tháng Tám đã giành chính quyền trên cả nước và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa.,"Một mục tiêu lớn là duy trì hòa bình và an ninh quốc tế, đồng thời thúc đẩy hợp tác giữa các quốc gia.",B,"Toàn cầu hóa tăng cường liên kết và trao đổi kinh tế, công nghệ, văn hóa giữa các quốc gia nhưng cũng tạo ra cạnh tranh và nhiều thách thức về bất bình đẳng, môi trường và khả năng thích ứng."
84,Tin học,THCS,Trung bình,Biến trong chương trình dùng để làm gì?,"Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,Thuật toán là một dãy hữu hạn các bước rõ ràng dùng để giải quyết một bài toán hoặc thực hiện một nhiệm vụ.,"Nó mô tả mức tăng của chi phí tính toán theo kích thước đầu vào n, nhanh hơn O(n²) khi n đủ lớn và thường gặp trong các thuật toán sắp xếp hiệu quả như Merge Sort.",B,Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.
85,Hóa học,THPT,Khó,Em hãy giải thích: Cân bằng hóa học là gì?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,Nước có công thức hóa học là H₂O.,pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.",D,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định."
86,Hóa học,THPT,Dễ,pH của dung dịch trung tính ở 25°C xấp xỉ bằng bao nhiêu?,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,Nước có công thức hóa học là H₂O.,"Chất xúc tác làm thay đổi tốc độ phản ứng, thường bằng cách cung cấp con đường phản ứng có năng lượng hoạt hóa thấp hơn, và không bị tiêu hao sau phản ứng.",pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,D,pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.
87,Tin học,THPT,Dễ,Cơ sở dữ liệu là gì?,Khóa chính dùng để xác định duy nhất mỗi bản ghi trong một bảng và không được trùng giá trị giữa các bản ghi.,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả.","Kiểm tra đầu vào giúp phát hiện dữ liệu không hợp lệ, hạn chế lỗi và làm chương trình hoạt động an toàn, đúng hơn.",Biến dùng để lưu trữ dữ liệu trong quá trình chương trình thực hiện và giá trị của biến có thể thay đổi.,B,"Cơ sở dữ liệu là tập hợp dữ liệu được tổ chức để lưu trữ, truy cập và quản lý hiệu quả."
88,Hóa học,THCS,Trung bình,Nguyên tử gồm những thành phần cơ bản nào?,"Cân bằng hóa học là trạng thái của phản ứng thuận nghịch khi tốc độ phản ứng thuận bằng tốc độ phản ứng nghịch, khiến nồng độ các chất không đổi theo thời gian ở điều kiện xác định.","Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân.",pH của dung dịch trung tính ở 25°C xấp xỉ bằng 7.,Phản ứng hóa học là quá trình trong đó các chất ban đầu biến đổi thành những chất mới.,B,"Nguyên tử gồm hạt nhân chứa proton và neutron, cùng các electron chuyển động xung quanh hạt nhân."
89,Ngữ văn,THPT,Dễ,Em hãy giải thích: Nghị luận xã hội là kiểu bài gì?,Hoán dụ là biện pháp tu từ gọi tên sự vật này bằng tên sự vật khác có quan hệ gần gũi với nó.,Đề tài là phạm vi hiện thực được tác phẩm phản ánh; chủ đề là vấn đề hoặc tư tưởng trọng tâm mà tác phẩm muốn làm nổi bật.,"Ẩn dụ là biện pháp tu từ gọi tên sự vật, hiện tượng này bằng tên của sự vật, hiện tượng khác dựa trên nét tương đồng.",Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.,D,Nghị luận xã hội là kiểu bài dùng lập luận và bằng chứng để bàn luận về một vấn đề thuộc đời sống xã hội.
90,Toán,THPT,Dễ,Em hãy giải thích: Đạo hàm của hàm số f(x)=x² là gì?,x = 4.,f'(x)=2x.,"Số nguyên gồm các số nguyên âm, số 0 và các số nguyên dương.",Còn lại 29 quyển vở.,B,f'(x)=2x.
91,Toán,THCS,Trung bình,Hãy cho biết Giải phương trình 2x + 5 = 13.?,Có 16 học sinh nữ và 16 học sinh nam.,Chu vi là 6 × 4 = 24 cm.,x = 4.,Giá trị tích phân là [x²] từ 0 đến 1 = 1.,C,x = 4.
